id;date;reference_no;document_title;author;date_released;submitted_to_sir_king;remarks;type_of_document_id
1;2026-08-06T18:02:13;when;utilization in;now privilege alongside;2026-08-06T09:17:04;2026-08-07T00:07:10;since cosset;1
2;2026-08-07T01:54:19;meh uh-huh;including lotion;broadcast against failing;2026-08-06T16:55:37;2026-08-07T03:34:30;joyously out fussy;2
3;2026-08-07T01:58:47;webbed season essential;upward nun boohoo;minus abaft;2026-08-07T04:13:46;2026-08-06T20:43:56;tragic;3
4;2026-08-06T08:38:40;aboard by;following chromakey inasmuch;emergent downright wallaby;2026-08-06T10:45:06;2026-08-06T23:17:31;incidentally dicker lighthearted;4
5;2026-08-06T20:05:30;orientate chromakey;muffled kindly defendant;out what refute;2026-08-06T17:23:21;2026-08-06T18:25:36;overcoat able;5
6;2026-08-07T04:46:26;subtract absent;linear;phew draft;2026-08-06T14:46:41;2026-08-06T13:21:21;anenst mortally till;6
7;2026-08-07T04:28:26;cuckoo while;loosely fairly unless;nor march iterate;2026-08-06T23:30:41;2026-08-06T15:24:18;dock;7
8;2026-08-06T20:31:09;wound throughout reword;bah for;about;2026-08-06T23:51:24;2026-08-07T03:31:00;toward sans;8
9;2026-08-06T21:01:53;towards wrongly;oof rotating;against ah positively;2026-08-07T01:37:14;2026-08-06T14:21:55;oof;9
10;2026-08-06T15:07:06;intrepid hmph;save alert;playfully rag;2026-08-06T15:21:53;2026-08-06T23:21:16;dimly;10
11;2026-08-06T14:10:33;yahoo;matter;unlearn;2026-08-06T19:03:42;2026-08-07T02:11:03;once whoever pfft;11
12;2026-08-06T20:10:54;suspiciously request;memorable;meh;2026-08-06T14:48:41;2026-08-06T22:13:28;jury of;12
13;2026-08-07T05:05:55;apropos;video elegant;blah boohoo;2026-08-06T16:13:31;2026-08-06T18:45:26;aside save;13
14;2026-08-06T11:06:08;up grandpa;moment;drat;2026-08-07T05:30:38;2026-08-06T20:20:38;grimy indeed;14
15;2026-08-07T04:00:14;suspiciously past gullible;yahoo;since;2026-08-06T18:31:14;2026-08-06T13:42:02;times;15
16;2026-08-06T16:46:55;who upset nor;verbally linear near;rarely up;2026-08-06T22:43:56;2026-08-07T01:45:14;suffice ice-cream impartial;16
17;2026-08-07T00:02:25;portray;foolhardy snow drat;supposing mid crazy;2026-08-07T06:48:54;2026-08-06T08:10:50;self-confidence than;17
18;2026-08-07T04:54:45;promptly plan eek;rudely but the;round versus;2026-08-06T16:51:28;2026-08-06T21:21:31;curiously greatly;18
19;2026-08-06T12:44:29;towards yowza;brochure;graffiti;2026-08-07T02:18:02;2026-08-07T07:39:57;snuggle down;19
20;2026-08-06T19:22:48;boo;yuck gloat embody;essence orchestrate stupendous;2026-08-06T13:58:58;2026-08-07T05:42:46;independence;20
21;2026-08-06T13:08:53;oh fluff recklessly;redound;rudely outdo;2026-08-07T03:14:02;2026-08-06T23:32:41;ha uncover yippee;21
22;2026-08-06T17:32:44;nimble at pulverize;front;hm;2026-08-07T05:24:14;2026-08-06T22:46:55;hopelessly why amid;22
23;2026-08-06T22:39:26;unfortunately defiantly nasalise;silky ugh;woot ferociously gosh;2026-08-07T03:14:13;2026-08-06T09:32:02;mid yum sniff;23
24;2026-08-06T11:14:58;mouser swelter now;aw shameless piglet;fooey gummy;2026-08-06T21:48:42;2026-08-07T05:22:22;per;24
25;2026-08-06T10:43:44;boo dramatize after;well-documented;often shakily;2026-08-06T21:46:49;2026-08-07T03:14:20;obnoxiously barring;25
26;2026-08-07T03:20:50;boo ew;yahoo lazily sandy;oh;2026-08-06T09:17:51;2026-08-06T18:11:54;footrest that;26
27;2026-08-06T12:57:38;duh dreamily;gullible;jealously;2026-08-06T14:23:15;2026-08-06T18:20:35;naturally;27
28;2026-08-07T04:40:48;mill forswear gosh;shocked delectable;while drat;2026-08-06T23:48:14;2026-08-06T12:44:59;lest submissive;28
29;2026-08-07T05:52:07;soft manner instead;inside;among and;2026-08-06T10:56:25;2026-08-06T17:18:09;duh alive relieve;29
30;2026-08-06T14:04:17;oxygenate finally rewarding;colorless intent;yum violently;2026-08-06T19:21:25;2026-08-07T03:10:40;after schedule;30
